Date,Open,High,Low,Close,Adj Close,Volume
2006-10-31,3250.0,3250.0,3250.0,3250.0,3250.0,0
2006-11-01,3250.0,3250.0,3250.0,3250.0,3250.0,0
2006-11-02,3250.0,3250.0,3250.0,3250.0,3250.0,0
2006-11-03,3250.0,3250.0,3250.0,3250.0,3250.0,0
2006-11-06,3250.0,3250.0,3250.0,3250.0,3250.0,0
2006-11-07,3250.0,3250.0,3250.0,3250.0,3250.0,0
2006-11-08,3250.0,3250.0,3250.0,3250.0,3250.0,0
2006-11-09,3250.0,3250.0,3250.0,3250.0,3250.0,0
2006-11-10,3250.0,3250.0,3250.0,3250.0,3250.0,0
2006-11-13,3250.0,3250.0,3250.0,3250.0,3250.0,0
2006-11-14,1300.0,1300.0,1300.0,1300.0,1300.0,0
2006-11-15,1300.0,1300.0,1300.0,1300.0,1300.0,0
2006-11-16,1300.0,1300.0,1300.0,1300.0,1300.0,0
2006-11-17,1300.0,1300.0,1300.0,1300.0,1300.0,0
2006-11-20,1300.0,1300.0,1300.0,1300.0,1300.0,0
2006-11-21,1300.0,1300.0,1300.0,1300.0,1300.0,0
2006-11-22,1300.0,1300.0,1300.0,1300.0,1300.0,0
2006-11-24,1300.0,1300.0,1300.0,1300.0,1300.0,0
2006-11-27,1300.0,1300.0,1300.0,1300.0,1300.0,0
2006-11-28,1300.0,1300.0,1300.0,1300.0,1300.0,0
2006-11-29,1300.0,1300.0,1300.0,1300.0,1300.0,0
2006-11-30,1300.0,1300.0,1300.0,1300.0,1300.0,0
2006-12-01,3250.0,3250.0,3250.0,3250.0,3250.0,0
2006-12-04,3250.0,3250.0,3250.0,3250.0,3250.0,0
2006-12-05,3250.0,3250.0,3250.0,3250.0,3250.0,0
2006-12-06,1820.0,1820.0,1820.0,1820.0,1820.0,0
2006-12-07,1820.0,1820.0,1820.0,1820.0,1820.0,0
2006-12-08,1820.0,1820.0,1820.0,1820.0,1820.0,0
2006-12-11,1820.0,1820.0,1820.0,1820.0,1820.0,0
2006-12-12,2860.0,2860.0,2860.0,2860.0,2860.0,0
2006-12-13,2860.0,2860.0,2860.0,2860.0,2860.0,0
2006-12-14,2860.0,2860.0,2860.0,2860.0,2860.0,0
2006-12-15,2860.0,2860.0,2860.0,2860.0,2860.0,0
2006-12-18,2860.0,2860.0,2860.0,2860.0,2860.0,0
2006-12-19,2860.0,2860.0,2860.0,2860.0,2860.0,0
2006-12-20,2860.0,2860.0,2860.0,2860.0,2860.0,0
2006-12-21,2860.0,2860.0,2860.0,2860.0,2860.0,0
2006-12-22,2860.0,2860.0,2860.0,2860.0,2860.0,0
2006-12-26,2860.0,2860.0,2860.0,2860.0,2860.0,0
2006-12-27,2860.0,2860.0,2860.0,2860.0,2860.0,0
2006-12-28,2860.0,2860.0,2860.0,2860.0,2860.0,0
2006-12-29,2860.0,2860.0,2860.0,2860.0,2860.0,0
2007-01-03,2860.0,2860.0,2860.0,2860.0,2860.0,0
2007-01-04,2860.0,2860.0,2860.0,2860.0,2860.0,0
2007-01-05,2860.0,2860.0,2860.0,2860.0,2860.0,0
2007-01-08,2210.0,2860.0,2210.0,2860.0,2860.0,0
2007-01-09,2860.0,2860.0,2860.0,2860.0,2860.0,0
2007-01-10,2860.0,2860.0,2860.0,2860.0,2860.0,0
2007-01-11,2860.0,2860.0,2860.0,2860.0,2860.0,0
2007-01-12,2860.0,2860.0,2860.0,2860.0,2860.0,0
2007-01-16,2860.0,2860.0,2860.0,2860.0,2860.0,0
2007-01-17,2860.0,2860.0,2860.0,2860.0,2860.0,0
2007-01-18,2860.0,2860.0,2860.0,2860.0,2860.0,0
2007-01-19,2860.0,2860.0,2860.0,2860.0,2860.0,0
2007-01-22,2860.0,2860.0,2860.0,2860.0,2860.0,0
2007-01-23,2860.0,2860.0,2860.0,2860.0,2860.0,0
2007-01-24,2860.0,2860.0,2860.0,2860.0,2860.0,0
2007-01-25,2860.0,2860.0,2860.0,2860.0,2860.0,0
2007-01-26,2860.0,2860.0,2860.0,2860.0,2860.0,0
2007-01-29,2860.0,2860.0,2860.0,2860.0,2860.0,0
2007-01-30,2860.0,2860.0,2860.0,2860.0,2860.0,0
2007-01-31,2860.0,2860.0,2860.0,2860.0,2860.0,0
2007-02-01,2860.0,2860.0,2860.0,2860.0,2860.0,0
2007-02-02,2860.0,2860.0,2860.0,2860.0,2860.0,0
2007-02-05,2860.0,2860.0,2860.0,2860.0,2860.0,0
2007-02-06,2860.0,2860.0,2860.0,2860.0,2860.0,0
2007-02-07,2860.0,2860.0,2860.0,2860.0,2860.0,0
2007-02-08,2860.0,2860.0,2860.0,2860.0,2860.0,0
2007-02-09,2860.0,2860.0,2860.0,2860.0,2860.0,0
2007-02-12,2860.0,2860.0,2860.0,2860.0,2860.0,0
2007-02-13,2860.0,2860.0,2860.0,2860.0,2860.0,0
2007-02-14,2860.0,2860.0,2860.0,2860.0,2860.0,0
2007-02-15,2860.0,2860.0,2860.0,2860.0,2860.0,0
2007-02-16,2860.0,2860.0,2860.0,2860.0,2860.0,0
2007-02-20,2860.0,2860.0,2860.0,2860.0,2860.0,0
2007-02-21,2860.0,2860.0,2860.0,2860.0,2860.0,0
2007-02-22,2860.0,2860.0,2860.0,2860.0,2860.0,0
2007-02-23,2860.0,2860.0,2860.0,2860.0,2860.0,0
2007-02-26,2860.0,2860.0,2860.0,2860.0,2860.0,0
2007-02-27,2860.0,2860.0,2860.0,2860.0,2860.0,0
2007-02-28,2860.0,2860.0,2860.0,2860.0,2860.0,0
2007-03-01,2600.0,2600.0,2600.0,2600.0,2600.0,0
2007-03-02,2600.0,2600.0,2600.0,2600.0,2600.0,0
2007-03-05,2600.0,2600.0,2600.0,2600.0,2600.0,0
2007-03-06,2600.0,2600.0,2600.0,2600.0,2600.0,0
2007-03-07,2574.0,2600.0,2574.0,2600.0,2600.0,0
2007-03-08,2600.0,2600.0,2600.0,2600.0,2600.0,0
2007-03-09,2600.0,2600.0,2600.0,2600.0,2600.0,0
2007-03-12,2600.0,2600.0,2600.0,2600.0,2600.0,0
2007-03-13,2600.0,2600.0,2600.0,2600.0,2600.0,0
2007-03-14,2600.0,2600.0,2600.0,2600.0,2600.0,0
2007-03-15,2600.0,2600.0,2600.0,2600.0,2600.0,0
2007-03-16,2600.0,2600.0,2600.0,2600.0,2600.0,0
2007-03-19,2600.0,2600.0,2600.0,2600.0,2600.0,0
2007-03-20,2600.0,2600.0,2600.0,2600.0,2600.0,0
2007-03-21,2600.0,2600.0,2600.0,2600.0,2600.0,0
2007-03-22,2600.0,2600.0,2600.0,2600.0,2600.0,0
2007-03-23,2600.0,2600.0,2600.0,2600.0,2600.0,0
2007-03-26,2600.0,2600.0,2600.0,2600.0,2600.0,0
2007-03-27,2600.0,2600.0,2600.0,2600.0,2600.0,0
2007-03-28,2600.0,2600.0,2600.0,2600.0,2600.0,0
2007-03-29,2600.0,2600.0,2600.0,2600.0,2600.0,0
2007-03-30,2600.0,2600.0,2600.0,2600.0,2600.0,0
2007-04-02,2600.0,2600.0,2600.0,2600.0,2600.0,0
2007-04-03,2600.0,2600.0,2600.0,2600.0,2600.0,0
2007-04-04,2600.0,2600.0,2600.0,2600.0,2600.0,0
2007-04-05,2600.0,2600.0,2600.0,2600.0,2600.0,0
2007-04-09,2600.0,2600.0,2600.0,2600.0,2600.0,0
2007-04-10,2600.0,2600.0,2600.0,2600.0,2600.0,0
2007-04-11,2600.0,2600.0,2600.0,2600.0,2600.0,0
2007-04-12,2600.0,2600.0,2600.0,2600.0,2600.0,0
2007-04-13,2600.0,2600.0,2600.0,2600.0,2600.0,0
2007-04-16,2600.0,2600.0,2600.0,2600.0,2600.0,0
2007-04-17,2600.0,2600.0,2600.0,2600.0,2600.0,0
2007-04-18,2600.0,2600.0,2600.0,2600.0,2600.0,0
2007-04-19,2600.0,2600.0,2600.0,2600.0,2600.0,0
2007-04-20,2600.0,2600.0,2600.0,2600.0,2600.0,0
2007-04-23,2600.0,2600.0,2600.0,2600.0,2600.0,0
2007-04-24,2600.0,2600.0,2600.0,2600.0,2600.0,0
2007-04-25,2600.0,2600.0,2600.0,2600.0,2600.0,0
2007-04-26,2600.0,2600.0,2600.0,2600.0,2600.0,0
2007-04-27,2600.0,2600.0,2600.0,2600.0,2600.0,0
2007-04-30,2600.0,2600.0,2600.0,2600.0,2600.0,0
2007-05-01,2600.0,2600.0,2600.0,2600.0,2600.0,0
2007-05-02,2600.0,2600.0,2600.0,2600.0,2600.0,0
2007-05-03,2600.0,2600.0,2600.0,2600.0,2600.0,0
2007-05-04,2600.0,2600.0,2600.0,2600.0,2600.0,0
2007-05-07,2600.0,2600.0,2600.0,2600.0,2600.0,0
2007-05-08,2600.0,2600.0,2600.0,2600.0,2600.0,0
2007-05-09,2600.0,2600.0,2600.0,2600.0,2600.0,0
2007-05-10,2600.0,2600.0,2600.0,2600.0,2600.0,0
